word	freq	syllables	flags	bucket	context
ลูกอ่อน	6	ลูก-อ่อน		COMPOSED	ุงมาทั้งลูกอ่อนนอนเมาะนาง
เจ็บแค้น	6	เจ็บ-แค้น		COMPOSED	ณาจักรจะเจ็บแค้นแทนพระคุณก
กองร้อย	6	กอง-ร้อย		COMPOSED	ดยั้งให้กองร้อยลอยรอล่อให
โกศ	6	โก-สะ		COMPOSED	่วังในทำโกศทองรองศพมณ
อุระ	6	อุ-ระ		COMPOSED	กหน่วงในอุระยังสะสมเพร
ปางก่อน	6	ปาง-ก่อน		COMPOSED	อย่างแต่ปางก่อนจะเย็นร้อน
บังอาจ	6	บัง-อา-จะ		COMPOSED	่ารั้งรอบังอาจจะพลาดแพลง
ตักเตือน	6	ตัก-เตือน		COMPOSED	แหลมหลักตักเตือนสติพี่กระน
การประมาณ	6	กาน-ประ-มาน		COMPOSED	ดล่วงคาดการประมาณศึกหัวร่อร
เพชรพลอย	6	เพ็ด-พลอย		COMPOSED	ย้อยล้วนเพชรพลอยแพรวพรายดอ
ดอกไม้ไหว	6	ดอก-ไม้-หวัย		COMPOSED	แพรวพรายดอกไม้ไหวแล้วเลือกส
ฝาน	6	ฝา-นะ		COMPOSED	ับสำหรับฝานสุราเข้มเต
หมางเมิน	6	หะ-มา-งะ-เมิน		COMPOSED	เอินเห็นหมางเมินม้วนกระดาษ
เมียงมอง	6	เมียง-มอง		COMPOSED	ลียงแล้วเมียงมองไม่เห็นน้อ
หึงสา	6	หึง-สา		COMPOSED	ทึ้งด้วยหึงสาเอาเผาไฟใน
เอาชีวิต	6	เอา-ชี-วิด		COMPOSED	ห้หนำจิตเอาชีวิตเสียเดี๋ยว
ตอก	6	ตะ-อก		COMPOSED	ร่งขัดสีตอกหมันเอาชัน
หกล้ม	6	หก-ล้ม		COMPOSED	ลัดตกพระหกล้มมันกัดกลมก
ส่วนตัว	6	ส่วน-ตัว		COMPOSED	รกระนั้นส่วนตัวท่านจงอ่าน
กก	6	กะ-กะ		COMPOSED	นพากันแตกกลับไปเข้าใ
ประตูเข้า	6	ประ-ตู-เข้า		COMPOSED	ึงปังพังประตูเข้าพรูพรั่งดู
ร้องทัก	6	ร้อง-ทัก		COMPOSED	ลักแกล้งร้องทักสินสมุทรด้
เจ้าป่า	6	เจ้า-ป่า		COMPOSED	ื่องบูชาเจ้าป่าดงถ้วนกำหน
แก้มือ	6	แก้-มือ		COMPOSED	ันแปรคิดแก้มือเราไม่ถือโ
เมินหน้า	6	เมิน-หน้า		COMPOSED	วลุกเดินเมินหน้าออกมาวัดนา
ตาลาย	6	ตา-ลาย		COMPOSED	ขับม้าจนตาลายถึงบ้านราย
ตั้งแต่ง	6	ตั้ง-แต่ง		COMPOSED	บสั่งให้ตั้งแต่งตามตำแหน่ง
หล่อ	6	หะ-ล่อ		COMPOSED	ห็นเนื้อหล่อนเต้นทุ่มเ
ขาดหาย	6	ขาด-หาย		COMPOSED	ะดาษเสียขาดหายแล้วนิ่งนึ
ต่อหน้า	6	ต่อ-หน้า		COMPOSED	กธงสัญญาต่อหน้าคนน้องวอดว
ทำโทษ	6	ทำ-โทด		COMPOSED	นโจทก์จะทำโทษตามบทในกฎห
เคราะห์ดี	6	เคราะ-ดี		COMPOSED	พราะเป็นเคราะห์ดีเช่นพระพี่
ขู่เข็ญ	6	ขู่-เข็น		COMPOSED	ร่หายขืนขู่เข็ญเห็นไม่รอด
ความผิด	6	ความ-ผิด		COMPOSED	ื่อไม่มีความผิดสักนิดเดีย
สะเทิ้นอาย	6	สะ-เทิ้น-อาย		COMPOSED	ดูดำเนินสะเทิ้นอายพอสามนายเข
เดียวกัน	6	เดียว-กัน		COMPOSED	นทองแผ่นเดียวกันจนวันตาย¦น
รับหน้า	6	รับ-หน้า		COMPOSED	หักทบออกรับหน้าพาผัวไปยั่
เดินหน้า	6	เดิน-หน้า		COMPOSED	งเทินพระเดินหน้านางวัณฬาเห
กินบวช	6	กิน-บวด		COMPOSED	าะถือศิลกินบวชสวดสวัสดิ์
เจ้าบ่าว	6	เจ้า-บ่าว		COMPOSED	าครอกนอกเจ้าบ่าวนอกนายหลัง
คบไฟ	6	คบ-ไฟ		COMPOSED	บรรจบถือคบไฟให้ตัดทางไ
ต้นไม้	6	ต้น-ไม้		COMPOSED	พื้นสุธาต้นไม้ร่มลมเรื่อ
ชก	6	ชะ-กะ		COMPOSED	าคุณมาราชการสถานใด¦บ
เลี้ยงลูก	6	เลี้ยง-ลูก		COMPOSED	นีที่สวดเลี้ยงลูกไม้น้ำตาลใ
ที่หมาย	6	ที่-หมาย		COMPOSED	นกระต่ายที่หมายจันทร์เมื่
ผู้รู้เห็น	6	ผู้-รู้-เห็น		COMPOSED	ลีแม้นมีผู้รู้เห็นว่าเป็นหญิ
อุลามก	6	อุ-ลา-มะ-กะ		COMPOSED	วชั่วช้าอุลามกจะต้องตกอย
สิ้นฤทธิ์	6	สิ้น-ริด		COMPOSED	่นดินสุดสิ้นฤทธิ์¦ช่วยธุระพ
หนาวสะท้าน	6	หนาว-สะ-ท้าน		COMPOSED	มนอนธการหนาวสะท้านอกใจพวกไพร
ชลนัยน์	6	ชน-ละ-นัย	syllable count differs (ssg 2 vs w2p 3)	REVIEW	างฟูมฟายชลนัยน์อาลัยลาน¦ถ
โทษกรณ์	6	โทด-สะ-กร	syllable count differs (ssg 2 vs w2p 3)	REVIEW	ือรู้สึกโทษกรณ์พอผ่อนผันเ
ขนมปัง	6	ขะ-หนม-ปัง	syllable count differs (ssg 2 vs w2p 3)	REVIEW	้จัดตั้งขนมปังเป็ดคู่กับ
จวงจันทน์	6	จวง-จัน	ssg splits more than override (3 vs 2)	REVIEW	วดกระแจะจวงจันทน์กลั่นเกสรม
คุดคู้	5	คุด-คู้		AUTO	รั่งนั่งคุดคู้เงี่ยแต่หู
เงี่ย	5	เงี่ย		AUTO	่งคุดคู้เงี่ยแต่หูฟังพห
เตา	5	เตา		AUTO	ื่อเมาทำเตาเสร็จกลเม็
ไกว	5	ไกว		AUTO	บไหวดั่งไกวเปลคนก็เซซ
เหน็บชา	5	เหน็บ-ชา		AUTO	เจ็บเป็นเหน็บชาต้องกลับมา
เข่นเขี้ยว	5	เข่น-เขี้ยว		AUTO	กโลดเต้นเข่นเขี้ยวประเดี๋ยวใ
สั่นเทา	5	สั่น-เทา		AUTO	้าทรงเอาสั่นเทาเทาหลับตาแ
ปึกแผ่น	5	ปึก-แผ่น		AUTO	ันข้าศึกปึกแผ่นยังแน่นหนา
ภักษ์	5	พัก		AUTO	่าตักเอาภักษ์ผลต่อเจ็ดว
เจือจาน	5	เจือ-จาน		AUTO	้งกองหุงเจือจานใส่สารลงคร
ป่าชัฏ	5	ป่า-ชัฏ		AUTO	ไปถึงชายป่าชัฏสงัดคน¦ขุน
โดยง่าย	5	โดย-ง่าย		AUTO	ึงเข้ามาโดยง่ายในบุรินทร์
ปากบอน	5	ปาก-บอน		AUTO	อดอยากทำปากบอนแต่ครั้งก่
ไม่ยั่งยืน	5	ไม่-ยั่ง-ยืน		AUTO	าอนิจจังไม่ยั่งยืนเทศนาสอนสั
ง้ำ	5	ง้ำ		AUTO	กตรอกงอกง้ำเป็นถ้ำเหว
แท่ง	5	แท่ง		AUTO	ย้อยเป็นแท่งดั่งแกล้งส
เกด	5	เกด		AUTO	่งบนกิ่งเกดฝูงโนเรศรา
หมดจด	5	หมด-จด		AUTO	ั้งพูดจาหมดจดดูงดงามน่า
โม	5	โม		AUTO	โลภหลงละโมบครั้นทำลา
มะสัง	5	มะ-สัง		AUTO	ดงรังโศกมะสังแลลิ่วเป็น
สงฆ์	5	สง		AUTO	คล้ายกับสงฆ์ฝ่ายเสนามา
กระทิง	5	กระ-ทิง		AUTO	้อแพะแกะกระทิงของย่างปิ้
ละเมอ	5	ละ-เมอ		AUTO	ปั้นเจ๋อละเมอฝันพลางลุก
แล่ง	5	แล่ง		AUTO	เอาเมืองแล่งสักครึ่งกึ
ดึงดัน	5	ดึง-ดัน		AUTO	ูกมึงให้ดึงดันพูดตอแหลแก
สะใภ้	5	สะ-ใภ้		AUTO	บรรดาเขยสะใภ้ไปทั้งครัว
ดื้อด้าน	5	ดื้อ-ด้าน		AUTO	นพาลทั้งดื้อด้านอวดอิทธิ์ฤ
โกญจนาท	5	โกน-จะ-นาด		AUTO	นียงก้องโกญจนาทประภาษไปเส
มูลนาย	5	มูล-นาย		AUTO	้วแกสั่งมูลนายฝ่ายทหารแม
ห้อ	5	ห้อ		AUTO	นอนครวญให้อักอ่วนอยู่
กัปตัน	5	กัป-ตัน		AUTO	ฉานเรียกกัปตันต้นหนพวกคน
กึง	5	กึง		AUTO	¦จะกล่าวกึงเจ้าพาราปต
โกสีย์	5	โก-สี		AUTO	ิศโรดั่งโกสีย์แต่เมืองขึ
ยู่	5	ยู่		AUTO	กันมั่นอยู่นี่ต่อพรุ่
เปรี้ยวหวาน	5	เปรี้ยว-หวาน		AUTO	ะเวณีอันเปรี้ยวหวานจืดเค็มก็เ
สุพรรณ	5	สุ-พรรณ		AUTO	เจิมขวัญสุพรรณพรายเอาจัด
หมณ์	5	หม		AUTO	บอุราพราหมณ์ถวายน้ำสัง
ชายแครง	5	ชาย-แครง		AUTO	ระดับนิลชายแครงจินดารายลา
เฟื่อง	5	เฟื่อง		AUTO	พรายพรรณเฟื่องกุดั่นใสสุ
นิรา	5	นิ-รา		AUTO	ังมังคลานิราทุกข์เกษมส
เบียน	5	เบียน		AUTO	่ยมเยียนเบียนทุกวัน¦ถนอ
เสี่ยง	5	เสี่ยง		AUTO	ี้ยงกูก็เสี่ยงบุญเจือช่ว
งัน	5	งัน		AUTO	ตกเดินงกงัน¦แล้วจึงเร
พันพัว	5	พัน-พัว		AUTO	ามัญย่อมพันพัวดีแลชั่วต้
แปรผัน	5	แปร-ผัน		AUTO	่แน่ย่อมแปรผันเป็นอนิจจั
ผ่ายผอม	5	ผ่าย-ผอม		AUTO	หนักไปจนผ่ายผอมให้กายต้อง
กระหน่ำ	5	กระ-หน่ำ		AUTO	ายพารามากระหน่ำทั้งซ้ำเติ
ศักดิ์สิทธิ์	5	สัก-สิด		AUTO	เพราะตัวศักดิ์สิทธิ์วิทยา¦แม้น
อิส	5	อิส		AUTO	เขาเนมินอิสินธรยอดก็อ
อ่า	5	อ่า		AUTO	ะช่วยคิดอ่านสถานใดจงว
สักครู่	5	สัก-ครู่		AUTO	จงรออยู่สักครู่หนักคงประจ
เลขยันต์	5	เลก-ยัน		AUTO	าระเวกลงเลขยันต์¦เดินกระบว
โอ่โถง	5	โอ่-โถง		AUTO	พระโรงดูโอ่โถงทำสำหรับรั
สะดวก	5	สะ-ดวก		AUTO	ัดขวางคงสะดวกเพราะพวกกั
บิดตะกูด	5	บิด-ตะ-กูด		AUTO	าความคิดบิดตะกูดทำเป็นพูดผ
คงคาลัย	5	คง-คา-ลัย		AUTO	ร์สระสรงคงคาลัย¦ดุเหว่าแว
ถ้วย	5	ถ้วย		AUTO	รินใส่ในถ้วยแก้วเรียงเ
เหลือบ	5	เหลือบ		AUTO	ถนนดูล้นเหลือบาทหลวงขึ้น
วิหลั่น	5	วิ-หลั่น		AUTO	นโครมถูกวิหลั่นหันเหียนเจ
อู้	5	อู้		AUTO	หวี่หวู่อู้ไปเข้าค่าย
เต	5	เต		AUTO	ปหาดทรายเต็มกลัวหนัง
บำเหน็จ	5	บำ-เหน็จ		AUTO	เพชรทั้งบำเหน็จให้ทุกคนจน
จานเจือ	5	จาน-เจือ		AUTO	ระทานให้จานเจือทั้งหมวกเส
นารายณ์	5	นา-ราย		AUTO	กรายดั่งนารายณ์อานุภาพไปป
กรณ์	5	กอน		AUTO	งองค์อลงกรณ์¦พี่จะไปเม
บัณเฑาะว์	5	บัน-เทา		AUTO	้มโหรีตีบัณเฑาะว์สำเนียงเพร
กุมภีล์	5	กุม-พีน		AUTO	หางอย่างกุมภีล์สัตว์ที่มี
หุบ	5	หุบ		AUTO	มาฟุบตามหุบหินกลอย่าง
อบ	5	อบ		AUTO	ขับพลเกือบจะถึงธารท่
ยุคล	5	ยุ-คล		AUTO	้บาทาฝ่ายุคลขอจุมพลทรา
ศิลป์	5	สิน		AUTO	ุ์พระทรงศิลป์ออกประจบรบ
นัดหมาย	5	นัด-หมาย		AUTO	ตริย์ที่นัดหมายท่านขวนขวา
ยาทา	5	ยา-ทา		AUTO	ังแผงนอกยาทาน้ำมัน¦แล้
เปิง	5	เปิง		AUTO	ริงตีให้เปิงอย่าได้ยั้
ใต้เท้า	5	ใต้-เท้า		AUTO	าทำไมกับใต้เท้าข้าพเจ้ากล
ถั่ว	5	ถั่ว		AUTO	้ำมันเนยถั่วพอกลั้วคอ¦
รวน	5	รวน		AUTO	ยเทยังเรรวนแต่ใคร่ครว
เอม	5	เอม		AUTO	ความอิ่มเอมเกษมสันต์ส
สังหรณ์	5	สัง-หอน		AUTO	เจ้าเข้าสังหรณ์ให้ท่านพรา
ตากุ้ง	5	ตา-กุ้ง		AUTO	่เสื้อสีตากุ้งไม่รุงรังด
นานา	5	นา-นา		AUTO	ลอุบายเสนานายพวกผู้ใหญ
ทรวดทรง	5	ทรวด-ทรง		AUTO	เลขาทั้งทรวดทรงราวกับหงส์
ฝนแล้ง	5	ฝน-แล้ง		AUTO	ลถ้าแม้นฝนแล้งไปให้บูชา¦
หัตถี	5	หัต-ถี		AUTO	ัตน์ทั้งหัตถีฝ่ายพระมิ่
แครง	5	แครง		AUTO	ทั้งครองแครงแย่งยื้อดื
ฟากฟ้า	5	ฟาก-ฟ้า		AUTO	ายนิพพานฟากฟ้าสุราลัย¦เท
โมหะ	5	โมหะ		AUTO	ทั้งโทโสโมหะสละไปตัดห่
รวบรัด	5	รวบ-รัด		AUTO	นมาแกล้งรวบรัดอัดอุราแล้
ขี้	5	ขี้		AUTO	ต้นเข่นเขี้ยวประเดี๋ย
กะรัต	5	กะ-รัต		AUTO	เพชรเจ็ดกะรัตแกจัดไว้ทั
อึดอัด	5	อึด-อัด		AUTO	ุบเฟี้ยมอึดอัดขัดกระแสท้
โรหิณี	5	โร-หิ-ณี		AUTO	กาตำรามีโรหิณีที่จมูกอัส
พริบตา	5	พริบ-ตา		AUTO	ิบลิบไม่พริบตา¦ฝ่ายไทท้า
ชำนิชำนาญ	5	ชำ-นิ-ชำ-นาญ		AUTO	องลงคลานชำนิชำนาญเรื่องนี้เ
พิรี้พิไร	5	พิ-รี้-พิ-ไร		AUTO	ดพระสามีพิรี้พิไรพอนึกได้ถึ
เกรียมกรม	5	เกรียม-กรม		AUTO	ลิงรมให้เกรียมกรมพี่จะลาเจ้
ประเคน	5	ประ-เคน		AUTO	ผลาผลไม้ประเคนให้ครูฉันเ
ลูกเห็บ	5	ลูก-เห็บ		AUTO	็นฝนทั้งลูกเห็บตกกระจายตา
ย่าม	5	ย่าม		AUTO	้นับถืออย่ามาพูดสอพลอใ
ชุก	5	ชุก		AUTO	าจะพ้นฝนชุกพ้นทุกข์ภั
แสบท้อง	5	แสบ-ท้อง		AUTO	ิดปองไม่แสบท้องอิ่มใจดั่ง
อ้อ	5	อ้อ		AUTO	ห้เดินวงอ้อมไปเที่ยวใ
ไม่เที่ยง	5	ไม่-เที่ยง		AUTO	ังขารมันไม่เที่ยงคิดหลีกเลี
เร่ร่อน	5	เร่-ร่อน		AUTO	เลเที่ยวเร่ร่อนจำจะจรจากไ
อดโซ	5	อด-โซ		AUTO	มากหมดจะอดโซเจ้าขรัวนา
น้ำเค็ม	5	น้าม-เค็ม	sound mismatch @1 (น้ำ vs น้าม)	FIXED	บบ้างว่าน้ำเค็มจัดจะขัดสน
ฟ่องฟู	5	ฟ่อง-ฟู		AUTO	นฟองขึ้นฟ่องฟูทั้งราหูเห
โหราจารย์	5	โหร-จา-ระ		AUTO	ให้สำราญโหราจารย์จึงประนมบั
ตูมตาม	5	ตูม-ตาม		AUTO	งปืนใหญ่ตูมตามขึ้นสามตึง
หงับ	5	หงับ		AUTO	งจับเสียหงับเดียว¦กลัว
ซ่อนเงื่อน	5	ซ่อน-เงื่อน		AUTO	ูยอกย้อนซ่อนเงื่อนดอกอ้ายกาก
กรรณิการ์	5	กัน-นิ-กา		AUTO	ะลิวัลย์กรรณิการ์ชบาบานพิกุ
ยมโดย	5	ยม-โดย		AUTO	ุกรมทั้งยมโดย¦แหงนดูดาว
แวง	5	แวง		AUTO	ึกแหนงระแวงวนคงได้ผลไ
อั้นอ้น	5	อั้น-อ้น		AUTO	านั้นให้อั้นอ้นเป็นความจน
ภารธุระ	5	พา-ระ-ทุร	sound mismatch @1 (ภาร vs พา);sound mismatch @2 (ธุ vs ระ);sound mismatch @3 (ระ vs ทุร)	REVIEW	ต้องเป็นภารธุระไปในทะเลจะ
เบน	5	เบน		AUTO	ติชายกระเบนสตรีแท้จะส
ภาชน์	5	พาด		AUTO	่งสุวรรณภาชน์ถวายพระบาท
แม่ครัว	5	แม่-ครัว		AUTO	จะได้จร¦แม่ครัวไทยไก่พะแน
เบียดเสียด	5	เบียด-เสียด		AUTO	ยา¦ราษฎรเบียดเสียดกันเยียดยั
เยียดยัด	5	เยียด-ยัด		AUTO	เสียดกันเยียดยัดมาแออัดชื่
รักษ์	5	รัก		AUTO	ิวาทเทพารักษ์ลักษมีขอบพ
ดิถี	5	ดิ-ถี		AUTO	วจึงตั้งดิถีในปีนั้นพุ
พ่อครัว	5	พ่อ-ครัว		AUTO	็ดไก่ใช้พ่อครัวพวกผู้หญิง
ราบคาบ	5	ราบ-คาบ		AUTO	ว์บาปให้ราบคาบดั่งช่วยชุ
แกล้วกล้า	5	แกล้ว-กล้า		AUTO	ีพล¦ล้วนแกล้วกล้าสามารถชาติ
เกียดกัน	5	เกียด-กัน		AUTO	่กั้นกางเกียดกันไม่ฉันทา¦แ
เล่นชู้	5	เล่น-ชู้		AUTO	อต้องการเล่นชู้มาดูแลท่าก
ข้าวตัง	5	ข้าว-ตัง		AUTO	นมั่งแกะข้าวตังก้นครัวมั่
เหน็บแนม	5	เหน็บ-แนม		AUTO	รีทูลคดีเหน็บแนมทั้งแต้มเต
เบี่ยงบ่าย	5	เบี่ยง-บ่าย		AUTO	้เพ็ดทูลเบี่ยงบ่ายหลายทำนองอ
สุรารักษ์	5	สุ-รา-รัก		AUTO	วงบนเทพาสุรารักษ์เห็นประจัก
เกลา	5	เกลา		AUTO	ะเสาบ้างเกลากลอน¦ฝ่ายพ
ระดะ	5	ระ-ดะ		AUTO	วเต่ากระระดะดาษเที่ยวว
เจ้าภาษี	5	เจ้า-ภา-ษี		AUTO	มขนมหวานเจ้าภาษีตั้งโรงเรี
รื่นเริง	5	รื่น-เริง		AUTO	แสนสำราญรื่นเริงบันเทิงใจ¦
บันเทิงใจ	5	บัน-เทิง-ใจ		AUTO	รื่นเริงบันเทิงใจ¦อย่าหวังใ
คุ้มครอง	5	คุ้ม-ครอง		AUTO	บรุมช่วยคุ้มครองมิให้ต้องแ
เทือก	5	เทือก		AUTO	ะจญ¦ด้วยเทือกแถวตาปู่อย
ธาดา	5	ธา-ดา		AUTO	ื่อสินทรธาดาพฤฒาพรหม¦ส
โยทะกา	5	โย-ทะ-กา		AUTO	ญจน์ชงโคโยทะกามะลุลีมะลิ
วายุภักษ์	5	วา-ยุ-พัก		AUTO	ยู่เมืองวายุภักษ์สำนักเนาพา
บัว	5	บัว		AUTO	กลั้วดอกบัวหลวงสุมาลี
มรึง	5	มะ-รึง		AUTO	ถึงที่รุมรึงทรวงเศร้าเ
คำนึง	5	คำ-นึง		AUTO	าความตามคำนึงจะขอบวชบรร
กำไล	5	กำ-ไล		AUTO	วะหล่ำแลกำไลโยมจะให้งา
จ้าน	5	จ้าน		AUTO	ให้สบายเจ้านายเรา¦จะกล
เยีย	5	เยีย		AUTO	ดดึกเย็นเยียบเงียบสงัด
เกี่ยวข้าว	5	เกี่ยว-ข้าว		AUTO	ห้เที่ยวเกี่ยวข้าวเช้าพรุ่งน
ตะละ	5	ตะ-ละ		AUTO	ชรประดับตะละดาววาวเวหา
ทึ้ง	5	ทึ้ง		AUTO	เภา¦บ้างทึ้งเถาสาวหยุด
ยั่วยวน	5	ยั่ว-ยวน		AUTO	ีก็จะพูดยั่วยวนกวนโทโสทำโ
รณ	5	รณ		AUTO	ุดสุดอาวรณ์จะทำการไม
มี่	5	มี่		AUTO	ีต่างอึงมี่เรียกกันเส
จัดจ้าน	5	จัด-จ้าน		AUTO	คับงานคนจัดจ้านตอแหลแลแง่
กัดฟัน	5	กัด-ฟัน		AUTO	ัสถ์นิ่งกัดฟันในทรวงสั่น
กระท่อม	5	กระ-ท่อม		AUTO	ด้วยปลูกกระท่อมล้อมเฝืองฝ
ฆิน	5	ฆิน		AUTO	าวขึ้นเมฆินดั่งใจหวัง
กุมภัณฑ์	5	กุม-พัน		AUTO	ยกาจชาติกุมภัณฑ์ตามไม่ทันเ
สับปลับ	5	สับ-ปลับ		AUTO	ัพย์อย่าสับปลับฉกลักเสียศ
ไถ	5	ไถ		AUTO	ดมากถลากไถลเดี๋ยวนี้
ขันกว้าน	5	ขัน-กว้าน		AUTO	นกันเข้าขันกว้านฝ่ายฝรั่งต
บ่ายหน้า	5	บ่าย-หน้า		AUTO	้นายท้ายบ่ายหน้าเภตราตรงสำ
วานซืน	5	วาน-ซืน		AUTO	เมื่อคืนวานซืนนี้พระบุตร
ใบ้	5	ใบ้		AUTO	านต้องทำใบ้ให้รู้ว่าน
อาโป	5	อา-โป		AUTO	สิ้นวาโยอาโปไหลแม้นเผา
เสียงฮา	5	เสียง-ฮา		AUTO	ะย่ำเผยอเสียงฮาเฮเสสรวลชว
เกลอ	5	เกลอ		AUTO	ลชวนเป็นเกลอกุมารเออเอ
เกลียวคลื่น	5	เกลียว-คลื่น		AUTO	น้ำเขียวเกลียวคลื่นเสียงครื้น
เฟื่องฟุ้ง	5	เฟื่อง-ฟุ้ง		AUTO	านสมบัติเฟื่องฟุ้งทั้งกรุงศร
เหลียวดู	5	เหลียว-ดู		AUTO	ชั้นแล้วเหลียวดูผู้คนบนหน้
หลาบ	5	หลาบ		AUTO	แซมแกมกุหลาบอังกาบมีสา
วิบากกรรม	5	วิ-บาก-กรรม		AUTO	่เต็มปากวิบากกรรมแต่เกิดมาอ
เคลือบแฝง	5	เคลือบ-แฝง		AUTO	องแดงไม่เคลือบแฝงแคลงฝ้าเป็
คันฉ่อง	5	คัน-ฉ่อง		AUTO	๊ะทองหวีคันฉ่องมีดแหนบแอบ
เรี่ย	5	เรี่ย		AUTO	หลงละโมบเรี่ยวแรงต้องแข
สำปะหลัง	5	สำ-ปะ-หลัง		AUTO	ากปากน้ำสำปะหลังไม่เข้าฝั่
เสกสรร	5	เสก-สรร		AUTO	ของมันมาเสกสรรค์ใส่เอากู
อวดดี	5	อวด-ดี		AUTO	พาทีอย่าอวดดีเลยกูไม่พอ
ปลอมแปลง	5	ปลอม-แปลง		AUTO	ะชาชนเราปลอมแปลงแต่งกายเป็
ไทรทอง	5	ไทร-ทอง		AUTO	้ามาใกล้ไทรทองสองกษัตริย
มิดเม้น	5	มิด-เม้น		AUTO	พับลิขิตมิดเม้นไม่เห็นแนว
กำพร้า	5	กำ-พร้า		AUTO	่แผลเป็นกำพร้ามาแต่หล่อน
กะเทย	5	กะ-เทย		AUTO	เอ๋ยเป็นกะเทยเขี้ยวเพชร
ท้อใจ	5	ท้อ-ใจ		AUTO	ิดถึงพ่อท้อใจอาลัยลานพร
จู่ลู่	5	จู่-ลู่		AUTO	กดิ์อย่าจู่ลู่ดูถูกนะลูก
เงื้อ	5	เงื้อ		AUTO	อนชะง่อนเงื้อมผาคูหาบรร
หัท	5	หัท		AUTO	มิได้ขัดหัทยาชีชราควบ
ตะโพง	5	ตะ-โพง		AUTO	เต้นเผ่นตะโพงลงน้ำโพล่ง
ก้ำเกิน	5	ก้ำ-เกิน		AUTO	นจะทำไม่ก้ำเกิน¦ในวังเวีย
เฟือง	5	เฟือง		AUTO	ูกลำไยมะเฟืองมะไฟผลผลาท
กระเจิง	5	กระ-เจิง		AUTO	ตกใจจริงกระเจิงวิ่งเวียนว
เอียงอาย	5	เอียง-อาย		AUTO	ลี่ยงหลบเอียงอายชม้ายหนีแต
กางเขน	5	กาง-เขน		AUTO	ายเกยไม้กางเขนก็เห็นความ
กระบือ	5	กระ-บือ		AUTO	ับซื้อโคกระบือม้าช้างต่า
ล้า	5	ล้า		AUTO	็นเถ้าเคล้าสุราตามตำร
ไต	5	ไต		AUTO	ึงเข้าไปไต่ถามตามสงก
ครือ	5	ครือ		AUTO	นในว่านเครือ¦เวลานั้นพ
เกา	5	เกา		AUTO	ึ่งว่าในเกาะประเทศเขต
พายัพ	5	พา-ยัพ		AUTO	ึ้นในทิศพายัพจับคงคาต้น
วิน	5	วิน		AUTO	สถิตแท่นวินิจฉัยอันไพ
โฉบ	5	โฉบ		AUTO	ลีกถลาลงโฉบได้ไพร่พลบ
เอี้ยว	5	เอี้ยว		AUTO	ยมนต์จึงเอี้ยวองค์ทรงลั่
เจ้าคารม	5	เจ้า-คา-รม		AUTO	ขยันจริงเจ้าคารมลมเติบกำเร
เย้ย	5	เย้ย		AUTO	อย่าเยาะเย้ยเลยเจ้าไม่
พ่ายแพ้	5	พ่าย-แพ้		AUTO	่งแตกพังพ่ายแพ้ไปแต่ก่อนต
ครู่หนึ่ง	5	ครู่-หนึ่ง		AUTO	ลสมานสักครู่หนึ่งจึงจะมาไม่
ฝาแฝด	5	ฝา-แฝด		AUTO	างว่าฉันฝาแฝดกษัตริย์แป
เกียรติ	5	เกียรติ		AUTO	้เปรมปราเกียรติยศเห็นงดงา
อ้อนแอ้น	5	อ้อน-แอ้น		AUTO	งค์เอวก็อ้อนแอ้นเป็นหนุ่มแ
อินัง	5	อิ-นัง		AUTO	มิได้คิดอินังชังน้ำหน้า
พ้องกัน	5	พ้อง-กัน		AUTO	์เพราะมาพ้องกันสองรายหาไม
ด่ำ	5	ด่ำ		AUTO	่นเซ็นระด่ำขุนนางนำเข
ฟ้อน	5	ฟ้อน		AUTO	งนกยูงลงฟ้อนเป็นวงเวีย
ประกวด	5	ประ-กวด		AUTO	าบหอกออกประกวดบ้างอวดตนพ
ชร	5	ชร		AUTO	ประดับเพชรแต่ละเม็ดแ
ญา	5	ญา		AUTO	่ฝนจนปัญญาไยจึงมาตกพ
สลวย	5	สะ-หลวย	syllable count differs (ssg 1 vs w2p 2)	REVIEW	ยุยี่สิบสลวยสวยโสภา¦มู
ย่ำยี	5	ย่ำ-ยี		AUTO	ไมตรีไม่ย่ำยีอย่ามาขวาง
หกคะเมน	5	หก-คะ-เมน		AUTO	ถูกหูหันหกคะเมนถึงเวรตาย¦
โย้	5	โย้		AUTO	นโซ่ขึ้นโย้แย่งฝรั่งแ
กริ่งเกรง	5	กริ่ง-เกรง		AUTO	งค์ละเวงกริ่งเกรงศึกจึงว่าน
เข็น	5	เข็น		AUTO	็นไม่ยอมเข็นขืนใจเป็นไ
เกรียม	5	เกรียม		AUTO	ลิงรมให้เกรียมกรมพี่จะลา
พุทธันดร	5	พุท-ธัน-ดร		AUTO	กัปกัลป์พุทธันดรอย่าอาวรณ์
หับ	5	หับ		AUTO	กจากห้องหับจับกระบี่ล
งันงก	5	งัน-งก		AUTO	งตัวสั่นงันงกสะทกสะท้าน
จุ	5	จุ		AUTO	ฟเข้าไล่จุดตีให้หลุด
อาบน้ำ	5	อาบ-น้าม	sound mismatch @2 (น้ำ vs น้าม)	FIXED	าดายบ้างอาบน้ำกุหลาบอาบน
บีบ	5	บีบ		AUTO	จะได้จับบีบขมับเฆี่ยน
ฟุน	5	ฟุน		AUTO	วุ่นเป็นฟุนไฟ¦สินสมุท
