word	syllables	flags	context
ศาลา	สา-ลา		ษรกรมท่าศาลากลาง¦แจ้งค
สามี	สา-มี		ังถ้อยคำสามีปรีชาชาญโป
ทะยาน	ทะ-ยาน		่นโผนโจนทะยานฝูงม้าเต้น
กิจจา	กิด-จา		านชลาสืบกิจจาเหตุการณ์ส
พลรบ	พน-รบ		เกณฑ์พหลพลรบไว้ครบครัน
วิหค	วิ-หก		งขาร์ฝูงวิหคนกบินลงกิน
วารี	วา-รี		คลองช่องวารีชวนกันรี่เ
ขอบเขต	ขอบ-เขด		หาสาคเรศขอบเขตคันอาทิตย์
ดูแล	ดู-แล		ดผันผ่อนดูแลได้แก้ไขเอ
ตะลึง	ตะ-ลึง		นิ่งอึ้งตะลึงตะไลตกพระท
ไคลคลา	ไคล-คลา		นใหญ่รีบไคลคลาจากลังกาเท
รุ่งเช้า	รุ่ง-เช้า		กระสันพอรุ่งเช้าพากันไปข้า
วอดวาย	วอด-วาย		นีรอดไม่วอดวายคุณของสายส
เปรียบเหมือน	เปรียบ-เหมือน		นที่พึ่งเปรียบเหมือนหนึ่งพุ่มไ
สมประสงค์	สม-ประ-สง		กโดยนิยมสมประสงค์จึงจัดพร้อ
ล้าต้า	ล้า-ต้า		ท่าพร้อมล้าต้าต้นหนคนขยั
ตามเรื่อง	ตาม-เรื่อง		เขตลังกาตามเรื่องต้นหนหลังอ
พิภพ	พิ-พบ		นดินปิ่นพิภพจบจังหวัดโ
หันเห	หัน-เห		ะกันบ้างหันเหคลื่นกระแท
ตะวัน	ตะ-วัน		อสายัณห์ตะวันตกเร่งยกพล
ชำเลือง	ชำ-เลือง		างผันแปรชำเลืองแลค้อนควัก
เมื่อไร	เมื่อ-ไร		ว่าไปสักเมื่อไรจะได้เฝ้าเ
มาลัย	มา-ไล		ญกัลยาสุมาลัยพระเคล้นไค
ประเสริฐ	ประ-เสิด		อาณาจักรประเสริฐศักดิ์อิศโ
สุมาลี	สุ-มา-ลี		ั้งวัณฬาสุมาลีหลวงชีสองเ
ผูกพัน	ผูก-พัน		้งนั้นก็ผูกพันพูดได้หลาย
บรรเทา	บัน-เทา		ก่อนเก่าบรรเทาใจเองเร่งไ
อาหาร	อา-หาน		หญ้าเป็นอาหารละมั่งระมา
ครื้นครึก	ครื้น-ครึก		้นประโคมครื้นครึกครั่นสนั่น
เวทมนตร์	เวด-มน		สยเพทพระเวทมนตร์¦พระอภัยสุ
ชีวัง	ชี-วัง		ไหนจะรอดชีวังคงสังขาร์แ
ครื้นครั่น	ครื้น-ครั่น		¦ระดมปืนครื้นครั่นควันตลบให้
วายปราณ	วาย-ปราน		ำร้ายให้วายปราณในสันดานตั
กำชับ	กำ-ชับ		ะยกทัพจงกำชับพวกพหลพลขั
น้ำตาไหล	น้ำ-ตา-ไหล		ต็มประดาน้ำตาไหลคิดถึงนุชส
ควรจะ	ควน-จะ		พระยาเอกควรจะเสกให้เป็น
ผ่อนปรน	ผ่อน-ปรน		ร้อนต้องผ่อนปรนกว่าจะพ้นค
หม่อมฉัน	หม่อม-ฉัน		าศัยใกล้หม่อมฉันเมื่อมีทุก
โฉมฉาย	โฉม-ฉาย		ลถวายพระโฉมฉายธิบดินทร์ป
ประสา	ประ-สา		ื่อยร้องประสานซ้องก้องด
แล้วจึง	แล้ว-จึง		นึกรำพึงแล้วจึงว่าพระเป็น
รำพัน	รำ-พัน		าวันพลางรำพันความหลังนั
สันทัด	สัน-ทัด		้งฝอนผันสันทัดได้หัดปรือ
งดงาม	งด-งาม		าหมดจดดูงดงามน่าจะตามท่
ชีวี	ชี-วี		เรามาแทบชีวีจะปลดปลงรอ
ภูเขา	พู-เขา		ตามลำเนาภูเขาเขินระยะย่
ดำริ	ดำ-หริ		รตรองตริดำริพลางแล้วปล
ได้การ	ได้-กาน		ายไปเห็นได้การปรึกษาท้าว
พ่อตา	พ่อ-ตา		เฝ้าท้าวพ่อตาแถลงข้อราช
โบราณ	โบ-ราน		้างอย่างโบราณ¦สามพระองค
นงลักษณ์	นง-ลัก		ต่แม่พ่อนงลักษณ์สักประเดี๋
ตามจริง	ตาม-จิง		ูกจะเล่าตามจริงทุกสิ่งสรร
ปรารภ	ปรา-รบ		ลิมภพให้ปรารภในพระทัยหล
ศีรษะ	สี-สะ	sound mismatch @1 (ศีร vs สี)	พัฒน์ตัดศีรษะให้สมกะแค้
พระคุณ	พระ-คุน		องจะฉลองพระคุณกรุณาขอเชิ
พระโรง	พระ-โรง		ปนั่งยังพระโรง¦แล้วจัดแจ
อาการ	อา-กาน		ืออยู่ดูอาการจะหักหาญทา
กระสัน	กระ-สัน		งแค้นแสนกระสันจึ่งกราบทู
ระงับ	ระ-งับ		จะต้องไประงับช่วยดับเข็
ทำศึก	ทำ-สึก		เป็นกรรมทำศึกไม่ตรึกตรอ
เป่าปี่	เป่า-ปี่		อผ่อนผันเป่าปี่ให้มีชัยมั
กุมารา	กุ-มา-รา		่อต่อมา¦กุมาราบังคมประนม
ประจง	ประ-จง		ตริย์จัดประจงทั้งคาวหวา
ประจญ	ประ-จน		ดขวางทางประจญ¦เครื่องกั
ประมาท	ประ-หมาด		จะแค้นใจประมาทไปมันจึ่งท
อับจน	อับ-จน		ำหรับแก้อับจนค่อยฝึกฝนส
มณฑล	มน-ทน		เฒ่าเข้ามณฑลแล้วห้ามคน
ข้างหลัง	ข้าง-หลัง		ษีเสนามาข้างหลังพ้นทุ่งนาป
ทุกคืน	ทุก-คืน		ู่ชูชื่นทุกคืนวันโอ้เจ้า
ไปมา	ไป-มา		่เป็นอันไปมาเที่ยวหากิ
โหรา	โห-รา		อเมาเข้าโหราเอามาปรุงต
รู้สึก	รู้-สึก		ท่าไรไม่รู้สึกทรวงสะทึกถ
ความหลัง	ความ-หลัง		ลางรำพันความหลังนั่งประคอง
สงกา	สง-กา		ต่ถามตามสงกาเจ้าคุณมาร
บังคับ	บัง-คับ		วุธอย่างบังคับแม่ทัพเรือ
สิ่งใด	สิ่ง-ได		ยคุ้มภัยสิ่งใดมาขอจงปราน
สอนสั่ง	สอน-สั่ง		ิบแรง¦แกสอนสั่งตัวเองอย่า
รั้งรอ	รั้ง-รอ		ฝรั่งไม่รั้งรอ¦เอาปืนยิง
เร่งรัด	เร่ง-รัด		กกระทรวงเร่งรัดให้จัดสรรค
อังกฤษ	อัง-กริด		ฆราชชาติอังกฤษกำเริบจิตป
ปราบปราม	ปราบ-ปราม		กินอาบจงปราบปราม¦ตามแม่น้ำ
รำลึก	รำ-ลึก		ัยถอนหวนรำลึกนึกถึงพระม
ลำเนา	ลำ-เนา		กพลไปตามลำเนาภูเขาเขินร
กระบอง	กระ-บอง		อไม้พลองกระบองสั้นเข้ากา
จินดา	จิน-ดา		ดมั่นฝังจินดาค่าบุรินทร
นาวา	นา-วา		ีวิชาจัดนาวาสี่ลำตามกั
ตรงหน้า	ตรง-หน้า		รงมานั่งตรงหน้าศาลฉันสังเ
สาวใช้	สาว-ใช้		ล่าอนงค์สาวใช้ขึ้นท้ายเก
หัวร่อ	หวัน-ร่อ	sound mismatch @1 (หัว vs หวัน)	ือหลอมันหัวร่อปรีดิ์เปรม
ผันแปร	ผัน-แปร		ะได้ช่วยผันแปรคิดแก้ไขคร
วิตก	วิ-ตก		กะพกความวิตกไม่รู้สิ้น
แก้วตา	แก้ว-ตา		นพี่จะพาแก้วตาไป¦พระอภัย
ตั้งค่าย	ตั้ง-ค่าย		ับได้แสนตั้งค่ายคูหลายชั้น
อัคคี	อัก-คี		งยิงทิ้งอัคคีพอสุริย์ศร
สุริยง	สุ-ริ-ยง		นเห็นดวงสุริยงส่งแสงฉานท
พิธี	พิ-ที		้าบัดพลีพิธีไสยเป็นลมห
งานการ	งาน-กาน		ษาเรื่องงานการสงคราม¦ว่า
คราวนี้	คราว-นี้		การอุบายคราวนี้ว่าดีครัน¦
ตามติด	ตาม-ติด		้องจะได้ตามติดไม่คิดกาย¦
กุศล	กุ-สน		ธิญาณการกุศลจะได้พ้นกอ
เจ้าคุณ	เจ้า-คุน		มตามสงกาเจ้าคุณมาราชการสถ
ประโยชน์	ประ-โยชน์		ได้ผลได้ประโยชน์จะโปรดมึงเ
ฮึกหาญ	ฮึก-หาน		าพวกโยธาฮึกหาญจะราญรอน¦ฝ
ผันผ่อน	ผัน-ผ่อน		าก่อนคิดผันผ่อนดูแลได้แก้
น้ำใจ	น้ำ-ใจ		างไรเสียน้ำใจแทบชีวิตจะ
จำเพาะ	จำ-เพาะ		ร่งกันมาจำเพาะแต่เคาะกลอ
ตำหนัก	ตำ-หนัก		ท่าสำนักตำหนักแพ¦เดินกระ
รู้อยู่	รู้-อยู่		ากระไรก็รู้อยู่ว่าจะเบียน
ประเดี๋ยว	ประ-เดี๋ยว		่นเขี้ยวประเดี๋ยวใจเข้าลุยไ
พาชี	พา-ชี		ปจงดีพวกพาชีรีบไปในพาร
พอให้	พอ-ให้		รักษามันพอให้ปลอดรอดชีว
กะลาสี	กะ-ลา-สี		นบนเภตรากะลาสีต่างอึงมี่
เกสร	เกด-สอน	sound mismatch @1 (เก vs เกด)	์แย้มแกมเกสรมะลุลีมะลิ
พายุ	พา-ยุ		กไอศูรย์พายุปัดซัดไปเก
ระฆัง	ระ-คัง		่าประดังระฆังขานเหมือนเ
ขันแข็ง	ขัน-แข็ง		บกันด้วยขันแข็งพวกคนธรรพ์
ตั้งมั่น	ตั้ง-มั่น		ัวท่านจะตั้งมั่นยับยั้งคอย
น้อยหรือ	น้อย-หรือ		ออะดวงชะน้อยหรืออีละเวงข่ม
นิมิต	นิ-มิด		ญชี¦เกิดนิมิตว่าอาทิตย์
นำหน้า	นำ-หน้า		้นขี่ม้านำหน้าพล¦บรรทุกเ
กล่าวถึง	กล่า-ถึง	sound mismatch @1 (กล่าว vs กล่า)	เทศตน¦จะกล่าวถึงสังฆราชพระ
ตามตำรา	ตาม-ตำ-รา		คล้าสุราตามตำราใส่กล้องเป
อายุ	อา-ยุ		ป็นผุยผงอายุยืนหมื่นพั
ศักดา	สัก-ดา		ุลจักรมีศักดาทั้งชะตาผู
ทิศา	ทิ-สา		ำมัวทั่วทิศาฝนก็ตกท่วม
จัดการ	จัด-กาน		รวีวารก็จัดการของเลี้ยงต
ศรัทธา	สัด-ทา		งหมื่นมีศรัทธาสมาทาน¦เทศ
จนใจ	จน-ใจ		งได้เป็นจนใจแต่ยังคิดจ
เกาทัณฑ์	เกา-ทัน		มหลาวลูกเกาทัณฑ์¦ข้างพวกพ้
ดนตรี	ดน-ตรี		ทั้งกาหลดนตรีปี่ชวาพระท
ก็ได้	ก็-ได้		ากเข็ญใจก็ได้เห็นสู้อุ้
บอกเล่า	บอก-เล่า		ป็นไฉนจงบอกเล่าไปแก่เราให
โกรธา	โกร-ทา		ี่โมโหจะโกรธาจงยับยั้งฟ
สำราญใจ	สำ-ราย-ใจ	sound mismatch @2 (ราญ vs ราย)	กี้ยวพานสำราญใจ¦ฝ่ายท่านท
อยู่งาน	อยู่-งาน		็นฟองฝอยอยู่งานคอยถวายเย็
เคียงข้าง	เคียง-ข้าง		เพลิงครบเคียงข้างนั่งสลอนพอ
พวกเรา	พวก-เรา		ฝ่ายทหารพวกเราตามเผาผลาญ
นภางค์	นะ-พาง		ขว้างโดยนภางค์เมฆาเวหาหน
เศร้าสร้อย	เส้า-ส้อย		งการตรัสเศร้าสร้อยละห้อยหาว่
หรือไม่	หรือ-ไม่		เราจะชอบหรือไม่ชอบคิดสอบส
ปรารมภ์	ปรา-รม		านว่าเราปรารมภ์อยากได้ชมน
เอ็นดู	เอ็น-ดู		เทพไทได้เอ็นดู¦พวกพาณิชเ
แห่แหน	แผ่-แหน		นทองแล้วแห่แหนลงไปในกำปั
ธุลี	ทุ-ลี		้บาทาฝ่าธุลีว่าบัดนี้แ
ไม่วาย	ไม่-วาย		ันตัวได้ไม่วายวาง¦แล้วหย
ทิวา	ทิ-วา		นถึงเจ็ดทิวาตาจะบอดไหน
วิวาห์	วิ-วา		ทำงานการวิวาห์สุดแต่อาจา
ลมหวน	ลม-หวน		ิ้นเมื่อลมหวนจะได้ครวญค
วิบัติ	วิ-บัด		ารโทมนัสวิบัติเป็นว่าจะต
ดึกดื่น	ดึก-ดื่น		ลางคืนจนดึกดื่นบอกเราให้เ
จวนจะ	จ-วน-จะ		พอสุริยาจวนจะลบภพไกรก็น
ละมาน	ละ-มาน		หนึ่งถึงละมานสถานถิ่นเม
กนิษฐา	กะ-นิด-ถา		ปถึงมิตรกนิษฐาช่วยแจ้งโศ
ทันใด	ทัน-ได		ปั่นด้วยทันใดบอกนายไพร่
กังขา	กัง-ขา		ธอฟังที่กังขาฉันมาโดยทา
ภูษา	พู-สา		นถวายผ้าภูษาทรง¦ประโรห
รามา	รา-มา		ยวหยิบสุรามารินกินคนเด
ร้อนรน	ร้อน-รน		สอนทำให้ร้อนรนไปโดยใจถวิ
เลขา	เล-ขา		แจ้งแห่งเลขาพวกชาวด่าน
เข้าเฝ้า	เข้า-เฝ้า		นถึงถิ่นเข้าเฝ้าพระเจ้าอา¦
วันทา	วัน-ทา		แล้วถวายวันทาคารวะขอเดช
สังหาร	สัง-หาน		่อยไปไล่สังหารเสกไม้เท้า
รู้ความ	รู้-ความ		ามที่ได้รู้ความตามทำนองมั
ครั่นครื้น	ครั่น-ครื่น		อัศจรรย์ครั่นครื้นเป็นคลื่นค
ปากอ่าว	ปาก-อ่าว		ปหาดทรายปากอ่าวริมเสาโคมพ
ปราการ	ปรา-กาน		งกองไฟไวปราการทหารขานยาม
หลบหนี	หลบ-หนี		งหอรบไม่หลบหนีพวกชาวเมือ
ผู้รู้	พู่-รู้		งวิชาแต่ผู้รู้ยังอยู่เรื
เรือกำปั่น	เรือ-กำ-ปั่น		้ยังอยู่เรือกำปั่นจะชวนกันเท
เหลือกำลัง	เหลือก-ลำ-งัน	sound mismatch @1 (เหลือ vs เหลือก);sound mismatch @3 (ลัง vs งัน)	้ข้างขวาเหลือกำลังพวกพหลพลโย
กุลา	กุ-ลา		ชื่อท้าวกุลามาลีมณีฉาย
เที่ยวหา	เที่ยว-หา		นลังกาจะเที่ยวหาคนรู้อดสูใ
คิรี	คิ-รี		จะไปเนินคิรีจัดรี้พลแล
กลางวัน	กลาง-วัน		ะจ่างดังกลางวันที่มืดมนอน
ดอกไม้	ดอก-ไม้		อำไพแขวนดอกไม้พวงพุ่มปทุ
ตามใจ	ตาม-ใจ		งตัวใหญ่ตามใจตนแกเป็นคน
ราคี	รา-คี		ิ้นสีอันราคีจะมาปนไม่ห
ข้าหลวง	ข้า-หลวง		แต่บรรดาข้าหลวงเดิมจอดประ
จับได้	จับ-ได้		อาผ้าฟาดจับได้มิให้หมองถ
ปะทะ	ปะ-ทะ		าออกราวีปะทะตีต้านหน้า
มายัง	มา-ยัง		ลิกพหลพลมายังธานินทร์คร
ประชวร	ประ-ชวน		สงวนหรือประชวรอย่างไรจงไ
กึกก้อง	กึก-ก้อง		าพวกโยธากึกก้องร้องตะโกน¦
เข่นฆ่า	เข่น-ค่า		็นแม่ทัพเข่นฆ่าให้ตาเหลือ
เอาไว้	เอา-ไว้		เฉงเรียนเอาไว้กันตัวอย่า
จัดสรร	จัด-สัน		่งรัดให้จัดสรรค์เครื่องอ
ประชา	ประ-ชา		่าวเหล่าประชาที่ท่าน้ำล
ไอศูรย์	ไอ-สูน		่องไปจากไอศูรย์พายุปัดซัด
ตามที่	ตาม-ที่		ลทูลฉลองตามที่ได้รู้ความ
ใจจริง	ใจ-จิง		ก็ต้องจนใจจริงหญิงกับชาย
ราศี	รา-สี		ูย่าเป็นราศีมันจึ่งพูด
บาหลี	บา-หลี		้าในท้ายบาหลีคลี่ตำรับแ
ระยับ	ระ-ยับ		สีดำขลับระยับพลาย¦ท้าวโ
หน้าที่	หน้า-ที่		นิทดีปันหน้าที่คอยระวังให
เท่าไร	เท่า-ไร		เรียกสักเท่าไรไม่รู้สึกท
มัวหมอง	มัว-หมอง		มชั่วที่มัวหมองเหมือนวาริ
ชม้าย	ชะ-ม้าย		ันธุ์พระชม้ายชายเนตรดูห
พึ่งพา	พึ่ง-พา		ขัดสนได้พึ่งพาบารมี¦ยาอ้
ยกทัพ	ยก-ทับ		มีฤกษ์จะยกทัพจงกำชับพวก
แม่ทัพ	แม่-ทับ		างบังคับแม่ทัพเรือใครขาด
หม่นหมอง	หม่น-หมอง		ังพหลให้หม่นหมองให้หวาดไหว
ถามถึง	ถาม-ถึง		ะอภัยไต่ถามถึงมัจฉายังสุ
ระรื่น	ระ-รื่น		สาครฟื้นระรื่นรสแล้วประณ
ล่อลวง	ล่อ-ลวง		๋อก้อไว้ล่อลวงจะตัดห่วงต
ขอลา	ขอ-ลา		าวิญญาณ์ขอลาไปรมจักรนั
ผู้วิเศษ	พู่-วิ-เสด		ู้จะเชิญผู้วิเศษไปดั่งใจหว
วายชนม์	วาย-ชน		้มตายถึงวายชนม์ไม่รู้กลตา
นิยม	นิ-ยม		งตรึกโดยนิยมสมประสงค์จ
หลังคา	หลัง-คา		นพลับพลาหลังคาสีแล้วก็ชว
ได้ความ	ได้-ความ		กให้จึ่งได้ความพระจึ่งสั่
เพิ่มพูน	เพิ่ม-พูน		ป็นมูลจงเพิ่มพูนรักกันอย่า
สันดาน	สัน-ดาน		ห้มั่นในสันดานแม้นเกิดกา
แข็งขัน	แข็ง-ขัน		งแย้งให้แข็งขันปีกนกสับคา
อิงแอบ	อิง-แอบ		รานีพลางอิงแอบแนบน้องประ
พฤกษา	พรึก-สา		งป่าดงพงพฤกษาไม่พบองค์ท
วิโยค	วิ-โยก		ยคลายวายวิโยคบรรเทาโศกส
ที่นี่	ที่-นี่		แก้วอยู่ที่นี่อย่าผลีผลา
เหล่านี้	เหล่า-นี้		้อ้ายพวกเหล่านี้เป็นที่พึ่
ซื่อตรง	ซื่อ-ตรง		ฝีมือที่ซื่อตรงให้เดินวงอ
อึงคะนึง	อึง-คะ-นึง		ร้องอื้ออึงคะนึงไป¦ไม่เห็น
พงศ์พันธุ์	พง-พัน		วงศ์เผ่าพงศ์พันธุ์¦ดาบสินีจะ
ภิรมย์	พิ-รม		ำเป็นสองภิรมย์สมสวาทในอา
ผู้ดี	พู่-ดี		็ไพร่ใช่ผู้ดีมาข่มขี่ใน
ตัดรอน	ตัด-รอน		นหวานคิดตัดรอนผ่อนผันในส
สู้รบ	สู้-รบ		รู้ผิดก็สู้รบกันไม่หวั่
พร้อมพรัก	พร้อม-พ-รัก		ณาจักรคนพร้อมพรักทั้งในไอศว
เลี้ยงดู	เลี้ยง-ดู		วสั่งให้เลี้ยงดูหมู่ทหารทั
เกศา	เก-สา		งเสวยเสยเกศาพรหมณ์ก็อ่
จำเป็น	จำ-เป็น		้าซ้ำจึงจำเป็น¦ไม่ดับสูญ
หมองมัว	หมอง-มัว		าผัวต้องหมองมัวไปสิ้นทุกถ
โกลาหล	โก-ลา-หน		วุธปืนผาโกลาหลโห่ภาษาแขก
นางรำ	นาง-รำ		ลายอย่างนางรำพันมันให้ต
บอกกล่าว	บอก-กล่าว		สุดที่จะบอกกล่าวเจ้าประคุณ
บันดาล	บัน-ดาน		ระวิญญาณบันดาลเป็นคิดไม่
ชมเชย	ชม-เชย		าเอ๋ยการชมเชยมันไม่แน่ย
พระมารดา	พระ-มาน-ดา		ีศรีโสภาพระมารดาจูงหัตถ์ตร
ระลอก	ระ-ลอก		ยทีคลื่นระลอกออกไม่ทันจ
สุคนธ์	สุ-คน		ปาจำปีรสสุคนธ์มณฑาระดาดา
ขอให้	ขอ-ให้		ัดขวางจะขอให้โหรดูพอรู้
กระแส	กระ-แส		ออกไปชายกระแสแล้วตีกลอง
เสียแรง	เสีย-แรง		ไอศวรรย์เสียแรงเกิดมาเป็น
ผู้ชาย	พู่-ชาย		นหาคู่คบผู้ชาย¦ขึ้นปรางค
เถ้าแก่	เถ้า-แก่		็จออกบอกเถ้าแก่ให้ทูลแต่อ
สิ่งของ	สิ่ง-ของ		เหล้าไข่สิ่งของต้องประสงค
สรรเสริญ	สัน-เสิน		ำเป็นว่าสรรเสริญเจริญดี¦ทั
บัดนี้	บัด-นี้		คดีมีว่าบัดนี้บาทหลวงแกล
ตามประสา	ตาม-ประ-สา		บข้าวของตามประสาอัชฌาสัยแต
ระอา	ระ-อา		อบังแสงพระอาทิตย์ดั่งจ
กลางแปลง	กลาง-แปลง		ึงผางที่กลางแปลงถูกเรือแคล
ทั้งพวก	ทั้ง-พวก		ะขัดข้องทั้งพวกพ้องคนชิดท
จุดไฟ	จุด-ไฟ		ยุทธ์ให้จุดไฟ¦จะกล่าวฝ่
ไปดู	ไป-ดู		้คนสอดลงไปดูหมู่พหลฟัง
บรรพต	บัน-พด		โอรสอยู่บรรพตพิสดารนานน
สุดคิด	สุด-คิด		ิทธ์เป็นสุดคิดสุดอาลัยให
พิไร	พิ-ไร		าปราศรัยพิไรวอนอีนางมอ
นอบนบ	นอบ-บน	sound mismatch @1 (นอ vs นอบ)	กรภพเข้านอบนบทูลองค์พระ
เจ้าประคุณ	เจ้า-ประ-คุน		อฝ่าเท้าเจ้าประคุณ¦แล้วเรียก
ปลูกฝัง	ปลูก-ฝัง		งเมียลูกปลูกฝังให้นั่งกิน
วันนั้น	วัน-นั้น		ลง¦เมื่อวันนั้นท่านครูมาอ
เรียกหา	เรียก-หา		กพลางทางเรียกหาพวกล้าต้าร
ฮึกโหม	ฮึก-โหม		ข้าศึกมาฮึกโหมคอยกระโจมต
สุนทร	สุน-ทอน		ล่าวกลอนสุนทรถามจึงกล่า
โฉมงาม	โฉม-งาม		มสองเจ้าโฉมงามทรามสงวนนว
หาดทราย	หาด-ซาย		ลนิกายไปหาดทรายเต็มกลัวหน
จำนรรจา	จำ-นัน-จา		รวลสันต์จำนรรจากินข้าวปลา
ระทวย	ระ-ทวย		จรวยอ่อนระทวยไปทั้งกายแ
ประสบ	ประ-สบ		นมิได้พบประสบกันหรือด้น
ถอนสมอ	ถอน-สะ-หมอ		วสั่งให้ถอนสมออย่ารอรั้ง
ลดเลี้ยว	ลด-เลี้ยว		ที่ไหนมาลดเลี้ยวเที่ยวตระเ
ขอเฝ้า	ขอ-เฝ้า		นวิ่งตามขอเฝ้าหามตามอึงค
รายเรียง	ราย-เรียง		เร็จแล้วรายเรียงเลี้ยงทหาร
จนถึง	จน-ถึง		นี้แกดึงจนถึงดี¦ฝ่ายโฉม
สายัณห์	สา-ยัน		ั้งพหลพอสายัณห์ตะวันตกเร่
แม่เจ้า	แม่-เจ้า		ิดบังเงาแม่เจ้าเอ๋ยเอออ้า
นิกาย	นิ-กาย		พวกพหลพลนิกายไปหาดทรายเ
จุมพิต	จุม-พิด		อุ้มพลางจุมพิตนางเบือนบิ
ขึ้นรถ	ขึ้น-รด		นบาทหลวงขึ้นรถฝรั่งนั่งก
ยุบล	ยุบ-ลน	sound mismatch @1 (ยุ vs ยุบ)	วความตามยุบลมันติดกลที
พยนต์	พะ-ยน		ินทร์อันพยนต์มนตราวิชาเ
ปรีดา	ปรี-ดา		สด็จมาก็ปรีดาต้อนรับกอง
โมโห	โม-โห		ม่ควรที่โมโหจะโกรธาจงย
ภายหลัง	พาย-หลัง		งจะไปต่อภายหลังเรียกฝรั่ง
บูชา	บู-ชา		กการนานาบูชาฉลองท้าวกุ
เลื่องลือ	เลื่อง-ลือ		เมืองให้เลื่องลือ¦แจ้งกิจจา
ระบอบ	ระ-บอบ		ระวังตามระบอบเร่งสอบสวน
คูหา	คู-หา		ธารเหวผาคูหาบรรพ์¦ตามเ
หนีหาย	หนี-หาย		้องนี้จะหนีหายไหนไหนฉันก
ชายหาด	ชาย-หาด		งรายอยู่ชายหาดสมอขาดปะกั
สะบัด	สะ-บัด		อดโยกโบกสะบัดพระพายพัดไ
มาจาก	มา-จาก		งข้ามหนีมาจากธานี¦พวกคน
มณฑา	มน-ทา		รสสุคนธ์มณฑาระดาดาษพุท
ภาณุมาศ	พา-นุ-มาด		วงสุริยาภาณุมาศขึ้นโอภาสแ
วายวาง	วาย-วาง		ัวได้ไม่วายวาง¦แล้วหยิบเ
หาไม่	หา-ไม่		ทั้งครัวหาไม่หัวมึงจะขา
หลายอย่าง	หลาย-หย่าง		้รู้เหตุหลายอย่างเพราะนางมา
แยบยล	แยบ-ยน		ูให้เห็นแยบยลกลอุบาย¦อย
เจ้าแผ่นดิน	เจ้า-แผ่น-ดิน		ลงในคงคาเจ้าแผ่นดินปิ่นพิภพจบ
ข้าไท	ข้า-ไท		าว่าเป็นข้าไทมิใช่ใจพี่
ความรู้	ความ-รู้		อาก็สิ้นความรู้สิ้นครูบาท
เล่ห์กล	เล่-กน		น่ห์ทั้งเล่ห์กล¦เดี๋ยวนี้
โมรา	โม-รา		างวิถีชมโมราประการังยั
ระทด	ระ-ทด		้าสลดจิตระทดเสียใจมิใค
หมองหมาง	หมอง-หมาง		ขุ่นข้องหมองหมางระคางคายตา
สมคะเน	สม-คะ-เน		กษมสันต์สมคะเนไม่ต้องรุก
ประดา	ประ-ดา		ะลึกเต็มประดานิจจาเอ๋ยเ
ห่างเหิน	ห่าง-เหิน		ศพนางไม่ห่างเหินทำธงปักเป็
สุดแต่	สุด-แต่		หลานบุตรสุดแต่ใจ¦พอจบธรร
ต่อตี	ต่อ-ตี		หาคนดีมาต่อตีก็ให้ว่าอย
มงกุฎ	มง-กุด		ภาทรงมหามงกุฎบุษย์น้ำทอ
ข้องขัด	ข้อง-ขัด		์สุทัตจะข้องขัดอย่างไรไฉน
ทำตาม	ทำ-ตาม		ครเร่งไปทำตามกระทรวงเบิ
รู้เรื่อง	รู้-เรื่อง		ยายแต่พอรู้เรื่องแถลงไม่แพร
นที	นะ-ที		ชเชือน¦คนที่มาว่าไปแต
มืดมัว	มืด-มัว		ังเกตทิศมืดมัวทั่วสวรรค์
รีบร้อน	รีบ-ร้อน		ชาญสมรก็รีบร้อนเดินเรียงเ
อัชฌา	อัด-ชา		้ามังคลาอัชฌาสัยเธอโอบอ
เศรษฐี	เสด-ถี		ะเทศทั้งเศรษฐีปราศจากโรค
สิกขา	สิก-ขา		ขอบวชสวดสิกขาสมาทานเป็น
กำซาบ	กำ-ซาบ		นกริชดาบกำซาบสายแต่เสนี
เกลื่อนกลาด	เกลื่อน-กลาด		กลตามถนนเกลื่อนกลาดดาษดา¦แล้ว
เปรมปรีดิ์	เปรม-ปรี		นราตรีแกเปรมปรีดิ์ในใจเห็นได
กระทบ	กระ-ทบ		่นกระแทกกระทบไหวดั่งไกว
ก้องกังวาน	ก้อง-กัง-วาน		นบินร้องก้องกังวานเสียงประสา
ดีจริง	ดี-จิง		ชแกองอาจดีจริงยิ่งนับถือ
พี่ชาย	พี่-ชาย		หลานเอ๋ยพี่ชายกับนัดดาไป
คอยท่า	คอย-ท่า		มาเตรียมคอยท่านท้าวแต่เช
ยงยุทธ์	ยง-ยุด		บได้สมทบยงยุทธ์อาวุธถือปื
สมประดี	สม-ประ-ดี		พลิกฟื้นสมประดีชุลีกรเห็น
พลัดพราก	พลัด-พราก		าผลาญแต่พลัดพรากจากพงศ์จาก
ทรามเชย	ซาม-เชย		เอ๋ยเจ้าทรามเชยอยู่ที่นี่
จริงจัง	จิง-จัง		านว่าชอบจริงจังดั่งเฉลยนั
เสแสร้ง	เส-แส้ง		ำราญแล้วเสแสร้งแกล้งว่ากู
สำแดง	สำ-แดง		าธรรมออกสำแดงแล้วชี้แจง
หน้าฉาน	หน้า-ฉาน		เสวกาที่หน้าฉานพอม้าใช้ไป
กุหลาบ	กุ-หลาบ		่นแซมแกมกุหลาบอังกาบมีสา
สีกา	สี-กา		เทศนาให้สีกาชีจำเอาคำส
อุทัย	อุ-ไท		งถอยไปจนอุทัยรุ่งรางสว่
